,City,Lat,Lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,Poum,-20.23,164.02,70.5,74,89,18.12,NC,1595450618
1,Port Lincoln,-34.73,135.87,48.7,83,1,9.22,AU,1595450530
2,Pisco,-13.7,-76.22,68.0,72,0,6.93,PE,1595450618
3,Hambantota,6.12,81.12,79.74,84,94,10.2,LK,1595450138
4,East London,-33.02,27.91,63.61,52,0,6.26,ZA,1595450324
5,Yellowknife,62.46,-114.35,64.4,93,90,10.29,CA,1595450714
6,Longyearbyen,78.22,15.64,48.2,76,75,13.87,SJ,1595450019
7,Mataura,-46.19,168.86,39.0,83,95,3.0,NZ,1595450349
8,Hermanus,-34.42,19.23,55.0,94,0,1.01,ZA,1595450517
9,Vao,-22.67,167.48,67.42,73,100,17.94,NC,1595450619
10,Ribeira Grande,38.52,-28.7,71.6,73,40,5.82,PT,1595450619
11,Hong Kong,22.29,114.16,84.0,79,55,3.0,HK,1595450619
12,Ewo,-0.87,14.82,77.88,64,100,3.89,CG,1595450619
13,Pedasí,7.53,-80.03,79.7,84,100,12.57,PA,1595450619
14,Ust-Nera,64.57,143.2,75.04,35,96,4.18,RU,1595450120
15,Novobirilyussy,56.95,90.67,47.62,97,7,5.21,RU,1595450620
16,Butaritari,3.07,172.79,83.44,75,50,14.81,KI,1595450532
17,Rikitea,-23.12,-134.97,67.26,58,100,14.36,PF,1595450715
18,Bluff,-46.6,168.33,39.0,83,96,3.0,NZ,1595450620
19,Ushuaia,-54.8,-68.3,35.6,59,93,9.17,AR,1595450620
20,Olafsvik,64.89,-23.71,49.42,70,14,9.24,IS,1595450620
21,Fare,-16.7,-151.02,77.65,75,24,17.67,PF,1595450620
22,Narsaq,60.92,-46.05,66.2,25,38,28.86,GL,1595450560
23,Qaanaaq,77.48,-69.36,48.04,52,0,1.36,GL,1595450620
24,Gotha,50.95,10.7,64.0,59,98,4.7,DE,1595450590
25,Bathsheba,13.22,-59.52,87.8,55,40,16.11,BB,1595450393
26,Busselton,-33.65,115.33,57.0,58,38,21.09,AU,1595450621
27,Otane,-39.88,176.63,48.99,83,0,14.0,NZ,1595450621
28,Bougouni,11.42,-7.48,74.77,86,89,3.04,ML,1595450621
29,Clyde River,70.47,-68.59,46.4,81,90,2.24,CA,1595450621
30,Puerto Ayora,-0.74,-90.35,80.6,57,40,18.34,EC,1595450411
31,Saint Paul Harbor,57.79,-152.41,64.4,48,1,18.34,US,1595450717
32,Saskylakh,71.92,114.08,45.34,93,100,10.54,RU,1595450622
33,Escuinapa,22.85,-105.8,91.4,52,5,6.93,MX,1595450622
34,Albany,42.6,-73.97,87.01,56,63,1.01,US,1595450511
35,Saint George,37.1,-113.58,96.8,18,20,5.82,US,1595450608
36,Pingliang,35.54,106.69,64.85,86,98,5.14,CN,1595450622
37,Alice Springs,-23.7,133.88,35.6,74,0,5.82,AU,1595450128
38,Vaini,-21.2,-175.2,68.0,88,40,3.36,TO,1595450508
39,Mairwa,26.23,84.15,83.79,78,68,6.98,IN,1595450623
40,‘Āhuimanu,21.44,-157.84,81.0,74,40,9.17,US,1595450571
41,Punta Arenas,-53.15,-70.92,28.4,100,20,5.82,CL,1595450718
42,Camacha,33.08,-16.33,69.8,68,75,11.41,PT,1595450623
43,Kurchum,48.57,83.65,61.27,72,2,3.85,KZ,1595450468
44,Jamestown,42.1,-79.24,80.01,73,75,9.17,US,1595450390
45,Tasiilaq,65.61,-37.64,44.6,81,37,5.82,GL,1595450623
46,Fortuna,40.6,-124.16,62.6,77,20,14.99,US,1595450624
47,Sitka,57.05,-135.33,59.0,77,90,4.7,US,1595450375
48,Canarana,-11.68,-41.77,68.63,61,20,7.09,BR,1595450624
49,Kahului,20.89,-156.47,89.6,49,40,16.11,US,1595450079
50,Eyemouth,55.87,-2.09,59.0,1,100,6.55,GB,1595450624
51,Erenhot,43.65,111.98,77.38,46,100,9.28,CN,1595450625
52,Ancud,-41.87,-73.82,51.8,57,87,6.93,CL,1595450509
53,New Norfolk,-42.78,147.06,42.01,87,65,1.99,AU,1595450720
54,Airai,-8.93,125.41,53.58,53,100,4.03,TL,1595450625
55,Camabatela,-8.19,15.38,60.55,49,5,2.17,AO,1595450625
56,Cherskiy,68.75,161.3,73.85,37,100,10.2,RU,1595449989
57,Thompson,55.74,-97.86,80.6,42,75,11.41,CA,1595450625
58,Ketchikan,55.34,-131.65,62.6,72,75,11.41,US,1595450720
59,Cape Town,-33.93,18.42,55.0,93,0,3.36,ZA,1595450350
60,Aksu,41.12,80.26,73.94,41,71,6.53,CN,1595450626
61,Missoula,47.02,-113.8,89.01,33,1,5.82,US,1595450414
62,Kilindoni,-7.91,39.67,76.96,71,50,19.98,TZ,1595450626
63,Lac du Bonnet,50.25,-96.06,79.0,72,92,5.01,CA,1595450626
64,Kavieng,-2.57,150.8,82.65,76,31,14.29,PG,1595450721
65,Constitución,-35.33,-72.42,53.22,71,23,3.62,CL,1595450413
66,Yaan,7.38,8.57,74.48,90,88,7.65,NG,1595450626
67,Sovetskiy,61.36,63.58,61.18,74,7,4.12,RU,1595450375
68,Lábrea,-7.26,-64.8,88.25,44,80,1.41,BR,1595450627
69,Zhigansk,66.77,123.37,58.96,71,35,19.44,RU,1595450627
70,Barrow,71.29,-156.79,39.2,86,90,9.17,US,1595450627
71,Pochutla,15.74,-96.47,86.0,66,75,11.41,MX,1595450627
72,The Pas,53.83,-101.25,80.6,57,75,16.11,CA,1595450627
73,Hobart,-42.88,147.33,42.8,81,75,8.05,AU,1595450622
74,Kapaa,22.08,-159.32,81.0,83,75,8.05,US,1595450322
75,Beloha,-25.17,45.05,60.03,77,0,7.87,MG,1595450628
76,Agua Prieta,31.3,-109.57,86.0,38,69,1.99,MX,1595450628
77,San Patricio,19.22,-104.7,91.4,70,75,17.22,MX,1595450600
78,Cabo San Lucas,22.89,-109.91,93.0,65,20,12.75,MX,1595450560
79,Ranong,9.97,98.63,78.94,80,100,2.28,TH,1595450628
80,Ṭikāpur,28.5,81.13,78.01,95,10,1.01,NP,1595450628
81,Maniitsoq,65.42,-52.9,55.04,73,2,11.36,GL,1595450628
82,Bambous Virieux,-20.34,57.76,69.8,52,75,16.11,MU,1595450629
83,Tuktoyaktuk,69.45,-133.04,46.4,75,40,9.17,CA,1595450629
84,Leningradskiy,69.38,178.42,60.66,47,100,4.12,RU,1595450363
