,City,Lat,Lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,Ambanja,-13.68,48.45,69.15,71,100,3.09,MG,1595270443
1,Bambous Virieux,-20.34,57.76,69.8,60,75,10.29,MU,1595270443
2,Ancud,-41.87,-73.82,53.6,76,7,4.7,CL,1595270443
3,Esperance,-33.87,121.9,50.0,81,90,5.82,AU,1595270443
4,Lagoa,39.05,-27.98,69.8,71,12,5.66,PT,1595270443
5,Severo-Kuril'sk,50.68,156.12,49.62,84,14,3.58,RU,1595270444
6,Iqaluit,63.75,-68.51,46.4,100,90,4.7,CA,1595270444
7,Cape Town,-33.93,18.42,59.0,87,0,5.82,ZA,1595270412
8,Shakhtinsk,49.71,72.59,62.6,72,85,4.47,KZ,1595270444
9,Mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1595270444
10,Hermanus,-34.42,19.23,57.99,85,0,7.0,ZA,1595270445
11,Ola,59.58,151.28,56.32,79,0,3.2,RU,1595270445
12,Bethel,41.37,-73.41,91.99,58,40,10.29,US,1595270445
13,Lompoc,34.64,-120.46,66.99,72,0,13.87,US,1595270287
14,Mount Gambier,-37.83,140.77,44.6,100,90,8.05,AU,1595270445
15,Kruisfontein,-34.0,24.73,59.99,95,98,5.66,ZA,1595270445
16,Kaitangata,-46.28,169.85,50.0,62,100,1.99,NZ,1595270445
17,Canteleu,49.44,1.02,73.0,43,0,13.87,FR,1595270446
18,Vieques,18.43,-65.83,89.6,62,40,17.22,PR,1595270446
19,Carnarvon,-24.87,113.63,55.4,71,0,8.05,AU,1595270446
20,Abidjan,5.31,-4.02,78.8,88,20,10.29,CI,1595270378
21,Busselton,-33.65,115.33,51.01,67,36,13.85,AU,1595270546
22,Upernavik,72.79,-56.15,51.06,47,0,10.49,GL,1595270446
23,Osoyoos,49.03,-119.45,78.01,44,40,11.41,CA,1595270446
24,Alenquer,-1.94,-54.74,89.6,62,20,10.29,BR,1595270447
25,Bougouni,11.42,-7.48,77.23,85,100,3.06,ML,1595270447
26,Saint Paul Harbor,57.79,-152.41,66.2,59,1,6.93,US,1595270424
27,Saint-Philippe,-21.36,55.77,68.0,64,84,16.11,RE,1595270447
28,Punta Arenas,-53.15,-70.92,33.8,80,40,5.82,CL,1595270447
29,Klaksvík,62.23,-6.59,50.0,93,54,13.87,FO,1595269905
30,Chokurdakh,70.63,147.92,67.05,49,100,9.8,RU,1595270447
